index,dE_c,dE_o,dE_n,dE_h,d_band_center,d_band_filling,d_band_width,d_band_upperedge
Ir@Ir,-7.49420007,-5.1707256,-5.24877791,-2.7657268,-2.246148578,0.807773019,4.835445626,0.9622
Ir@Pt,-7.77808292,-5.44465478,-5.67397293,-2.81714557,-2.019165119,0.799606035,4.568010813,0.5856
Ir@Au,-8.27915475,-5.80376045,-6.07972752,-2.87692266,-1.655668008,0.783664431,4.339865912,0.4972
Ir+1@Ni,-7.9310088,-5.35542468,-5.6299517,-2.58174606,-1.613368173,0.754418571,5.546613852,0.7859
Ir+1@Cu,-8.17456862,-5.68694587,-5.90142216,-2.58041343,-1.665855173,0.785915539,4.152199355,0.4722
Ir+1@Rh,-7.76871084,-5.30550852,-5.54969173,-2.7022756,-1.926204652,0.774842693,4.411737067,1.0525
Ir+1@Pd,-8.16947557,-5.64881596,-6.01566936,-2.7973395,-1.846613335,0.790999788,3.903929078,0.5322
Ir+1@Ag,-8.6186945,-5.98231108,-6.41758293,-2.79001936,-1.513148692,0.777621396,3.857104356,0.4605
Ir+1@Os,-7.46503019,-5.00538679,-4.94758973,-2.6858237,-2.187808769,0.783320636,5.074466712,1.7071
Ir+1@Ir,-7.62593801,-5.21382823,-5.35650082,-2.77290853,-2.188734309,0.803578116,4.614687114,0.919
Ir+1@Pt,-7.9190333,-5.51160193,-5.76076272,-2.81525055,-1.960173113,0.794423225,4.342097871,0.7466
Ir+1@Au,-8.43590115,-5.88270175,-6.16137951,-2.86148954,-1.609639876,0.775948916,4.152657816,0.4546
Ir+2@Ni,-8.1402802,-5.48000346,-5.83721601,-2.60836807,-1.565817129,0.751357004,5.278814952,0.8209
Ir+2@Cu,-8.3927084,-5.78352326,-6.13769638,-2.59098868,-1.606252274,0.790582114,3.917770423,0.4377
Ir+2@Rh,-7.92135138,-5.39692811,-5.73119947,-2.70877692,-1.873376365,0.767938036,4.160980585,1.0046
Ir+2@Pd,-8.36204099,-5.75774556,-6.23351341,-2.79957006,-1.780075262,0.798296942,3.69725691,0.5094
Ir+2@Ag,-8.85784926,-6.0992857,-6.69200283,-2.78681343,-1.461064609,0.784781694,3.639392134,0.4303
Ir+2@Os,-7.59691599,-5.01941368,-5.07155867,-2.69286459,-2.140685059,0.788093648,4.803333,1.7323
Ir+2@Ir,-7.76060158,-5.28134961,-5.51128349,-2.7801875,-2.127975463,0.807572774,4.391999407,0.9314
