index,dE_c,dE_o,dE_n,dE_h,d_band_center,d_band_filling,d_band_width,d_band_upperedge
Pt+1@Mo,-5.93708421,-3.99307356,-3.67737491,-2.30143209,-2.670914875,0.881575516,3.841550985,-2.0079
Pt+1@Ru,-6.75620305,-4.28224659,-4.42252969,-2.52722881,-2.26881412,0.857635042,3.991482893,0.8259
Pt+1@Rh,-7.19292435,-4.50101649,-4.78683629,-2.5863465,-2.008741887,0.829502463,4.115684334,0.6084
Pt+1@Pd,-7.65727526,-4.7198244,-5.12342143,-2.66643483,-1.826105251,0.858655086,3.741931783,0.2412
Pt+1@Ag,-7.66215497,-4.70401521,-5.06408376,-2.5472386,-1.580139294,0.872131957,3.637727818,-0.1686
Pt+1@W,-5.76490897,-4.09963666,-3.50957579,-2.37010069,-2.666309629,0.854595232,4.454718439,-1.6844
Pt+1@Re,-6.29277291,-4.26461572,-4.03066591,-2.57090419,-2.537223588,0.857895959,4.347460211,-1.3211
Pt+1@Os,-6.64547281,-4.33578186,-4.34456036,-2.65832977,-2.373965821,0.846837903,4.382306625,0.9849
Pt+1@Ir,-7.04637693,-4.49222813,-4.68107388,-2.67907257,-2.280122772,0.866637369,3.981718624,0.5437
Pt+1@Pt,-7.54502436,-4.7051656,-5.0554049,-2.74166033,-1.954597387,0.86688401,4.014362671,0.2191
Pt+1@Au,-7.66097209,-4.72660276,-5.10896624,-2.70566671,-1.653314528,0.86389918,3.795824266,-0.1632
Pt+2@Fe,-6.44845283,-3.96167606,-4.02640402,-2.20858964,-2.075973976,0.848682091,4.322764523,-0.8767
Pt+2@Co,-6.77913681,-4.18040908,-4.31045057,-2.26947245,-2.063952695,0.862799835,4.312602717,-0.8589
Pt+2@Ni,-7.1506424,-4.38336695,-4.63374787,-2.36356365,-1.926681332,0.862553947,4.17457286,0.3481
Pt+2@Cu,-7.54021217,-4.64881423,-4.92938236,-2.43781769,-1.719193872,0.868457458,3.798033783,0.0215
Pt+2@Mo,-6.14788317,-3.99104127,-3.82953874,-2.28683855,-2.618053735,0.878298172,3.665744905,-2.0553
Pt+2@Ru,-6.94006988,-4.37253006,-4.5543584,-2.52119,-2.212627878,0.848174043,3.803838488,0.9229
Pt+2@Rh,-7.3516308,-4.58546337,-4.90607848,-2.57166561,-1.976807581,0.838946992,3.932675643,0.4696
Pt+2@Pd,-7.85216408,-4.83292894,-5.27758775,-2.66978215,-1.785244111,0.858975641,3.547357605,0.2307
Pt+2@Ag,-7.9095139,-4.84597732,-5.19807518,-2.56572746,-1.526223003,0.873049974,3.444499806,-0.1633
Pt+2@W,-5.96193685,-4.10199959,-3.65973108,-2.35744382,-2.622101305,0.853883497,4.295534226,-1.9901
Pt+2@Re,-6.45885938,-4.28406297,-4.15953319,-2.5604118,-2.489049342,0.857122444,4.168361473,-1.3327
Pt+2@Os,-6.79600455,-4.38895653,-4.45731197,-2.65344589,-2.32194925,0.853025159,4.194141287,1.0261
Pt+2@Ir,-7.17201722,-4.56281983,-4.77971428,-2.67660106,-2.241140474,0.87120662,3.843609177,0.5555
Pt+2@Pt,-7.68970192,-4.78366157,-5.1698185,-2.73816981,-1.919687505,0.863170449,3.857617355,0.2484
Pt+2@Au,-7.85435728,-4.83986595,-5.21549005,-2.71581572,-1.617628364,0.871086343,3.643906631,-0.1682
